Albania,Internet Banking,210
Albania,Card,120
Australia,Internet Banking,68
Australia,Card,46
Bahamas,Internet Banking,38
Bahamas,Card,23
Bangladesh,Internet Banking,248
Bangladesh,Card,122
Brazil,Card,1535
Brazil,Internet Banking,2968
Cameroon,Card,25
Cameroon,Internet Banking,69
Canada,Card,295
Canada,Internet Banking,541
Chile,Internet Banking,109
Chile,Card,49
China,Internet Banking,10296
China,Card,5141
Colombia,Internet Banking,910
Colombia,Card,413
Ecuador,Card,81
Ecuador,Internet Banking,188
Egypt,Internet Banking,261
Egypt,Card,140
France,Card,773
France,Internet Banking,1554
Germany,Internet Banking,285
Germany,Card,150
Greece,Card,313
Greece,Internet Banking,588
Indonesia,Card,3323
Indonesia,Internet Banking,6623
Italy,Internet Banking,26
Italy,Card,14
Jamaica,Internet Banking,29
Jamaica,Card,20
Japan,Internet Banking,996
Japan,Card,493
Mali,Internet Banking,89
Mali,Card,44
Mexico,Internet Banking,655
Mexico,Card,308
Pakistan,Internet Banking,292
Pakistan,Card,164
Panama,Internet Banking,98
Panama,Card,52
Philippines,Internet Banking,3136
Philippines,Card,1651
Somalia,Card,36
Somalia,Internet Banking,65
South Korea,Internet Banking,285
South Korea,Card,136
Togo,Card,20
Togo,Internet Banking,43
United Kingdom,Card,123
United Kingdom,Internet Banking,207
